ticker,exchange,assetType,priceCurrency,startDate,endDate
000880,SHE,Stock,CNY,2007-05-08,2017-03-17
000881,SHE,Stock,CNY,2007-01-04,2017-03-17
000882,SHE,Stock,CNY,2007-01-04,2017-03-17
000883,SHE,Stock,CNY,2007-01-04,2017-03-17
000885,SHE,Stock,CNY,2007-01-04,2017-03-17
000886,SHE,Stock,CNY,2007-01-04,2017-03-17
000887,SHE,Stock,CNY,2007-01-05,2017-03-17
000888,SHE,Stock,CNY,2007-01-04,2017-03-17
000889,SHE,Stock,CNY,2007-01-04,2017-03-17
000890,SHE,Stock,CNY,2007-01-04,2017-03-17
000892,SHE,Stock,CNY,2007-01-04,2017-03-17
000893,SHE,Stock,CNY,2007-01-04,2016-07-15
000895,SHE,Stock,CNY,2007-06-13,2017-03-17
000897,SHE,Stock,CNY,2007-01-04,2016-07-15
000898,SHE,Stock,CNY,2007-01-04,2017-03-17
000899,SHE,Stock,CNY,2007-01-04,2017-03-17
000900,SHE,Stock,CNY,2007-01-04,2017-03-17
000901,SHE,Stock,CNY,2007-01-04,2017-03-17
000902,SHE,Stock,CNY,2007-01-05,2017-03-17
000903,SHE,Stock,CNY,2007-01-04,2016-12-21
000905,SHE,Stock,CNY,2007-01-04,2017-03-17
000906,SHE,Stock,CNY,2007-01-04,2017-03-17
000908,SHE,Stock,CNY,2007-01-04,2017-03-17
000909,SHE,Stock,CNY,2007-01-04,2017-03-17
000910,SHE,Stock,CNY,2007-01-04,2017-03-17
000911,SHE,Stock,CNY,2007-01-04,2017-03-17
000912,SHE,Stock,CNY,2007-01-04,2016-12-09
000913,SHE,Stock,CNY,2007-01-04,2017-03-17
000915,SHE,Stock,CNY,2007-01-04,2017-03-17
000916,SHE,Stock,CNY,2007-01-04,2016-06-23
000917,SHE,Stock,CNY,2007-01-04,2017-03-17
000918,SHE,Stock,CNY,2008-05-13,2017-03-17
000919,SHE,Stock,CNY,2007-01-04,2017-03-17
000920,SHE,Stock,CNY,2007-01-04,2017-03-17
000921,SHE,Stock,CNY,2007-01-05,2017-03-17
000922,SHE,Stock,CNY,2007-01-09,2017-03-17
000923,SHE,Stock,CNY,2007-01-08,2017-03-17
000925,SHE,Stock,CNY,2007-01-04,2017-03-17
000926,SHE,Stock,CNY,2007-01-04,2017-03-17
000927,SHE,Stock,CNY,2007-01-04,2017-03-17
000928,SHE,Stock,CNY,2007-01-04,2017-03-17
000929,SHE,Stock,CNY,2007-01-04,2017-03-17
000930,SHE,Stock,CNY,2007-01-04,2017-03-17
000931,SHE,Stock,CNY,2007-01-09,2017-03-17
000932,SHE,Stock,CNY,2007-01-04,2017-03-17
000933,SHE,Stock,CNY,2007-01-04,2017-03-17
000935,SHE,Stock,CNY,2007-01-04,2017-01-16
000936,SHE,Stock,CNY,2007-01-04,2017-03-17
000937,SHE,Stock,CNY,2007-01-04,2017-03-17
